depth	true_age	age	sigma_age	inc	sigma_inc
0.0	1999.0				
420.0	-1200.5932832439194	-1198.0	6.0		
850.0	-5270.475817160252	-5284.0	35.0		
15.0	1917.7219373217883			50.62185285643648	3.96
20.0	1890.6292497623845			56.38669650005222	3.96
25.0	1880.9908213681451			50.559689037826935	3.96
30.0	1871.3523929739058			45.757191785623206	3.96
35.0	1861.7139645796665			49.89979841595901	3.96
40.0	1852.0755361854272			46.39052920272107	3.96
45.0	1768.3689560644698			49.41160340336979	3.96
50.0	1684.6623759435122			56.88106833434065	3.96
55.0	1600.9557958225546			53.60131883105859	3.96
60.0	1517.2492157015972			55.1634880878565	3.96
65.0	1489.939276266762			57.93516365879049	3.96
70.0	1462.6293368319266			52.061677615646104	2.31
75.0	1435.3193973970913			51.863276346765495	2.3
80.0	1408.009457962256			51.81057743057543	2.73
85.0	1395.2343065873683			55.31486058866333	3.09
90.0	1382.459155212481			59.37497213510029	2.97
95.0	1369.6840038375935			56.54824372646796	2.37
100.0	1356.908852462706			55.8575091595074	2.3
105.0	1324.534792379951			57.95921657958964	2.49
110.0	1292.1607322971963			57.36477880434477	2.3
115.0	1259.7866722144415			57.15513756357384	2.3
120.0	1227.4126121316867			57.15976149949882	2.3
125.0	1196.7325817905737			58.84916590702373	2.3
130.0	1166.0525514494607			58.915338860101784	2.3
135.0	1135.3725211083479			59.40148202886197	2.3
140.0	1104.6924907672349			58.52213764404205	2.3
145.0	1059.9571865027779			57.763140722617266	2.37
150.0	1015.2218822383209			64.0313776356397	2.55
155.0	970.4865779738639			59.93561181972309	2.37
160.0	925.7512737094069			59.06303395823276	2.55
165.0	908.6477832930309			60.83812675606395	2.55
170.0	891.544292876655			53.8466310915487	2.67
175.0	874.4408024602792			62.00570980756452	2.3
180.0	857.3373120439032			58.50722268051541	2.3
185.0	842.2691410654369			60.898906892990624	2.3
190.0	827.2009700869705			57.88956448610378	2.3
195.0	812.1327991085042			61.52766327934411	2.3
200.0	797.0646281300378			61.656668770939795	2.3
205.0	744.6274300476588			58.84642005081908	2.3
210.0	692.1902319652797			58.327540701725056	2.3
215.0	639.7530338829007			59.05737124254193	2.3
220.0	587.3158358005217			56.87644979002826	2.3
225.0	553.7910002063375			61.67200668129836	2.3
230.0	520.2661646121534			60.63150480564167	2.3
235.0	486.74132901796924			58.25640991910361	2.3
240.0	453.2164934237851			58.190567302513784	2.3
245.0	437.275333638038			56.77593328748758	2.3
250.0	421.33417385229086			57.786619019928665	2.3
255.0	405.39301406654374			56.19132495046632	2.3
260.0	389.4518542807966			63.958804466802476	2.3
265.0	369.20387574865464			59.35391533329016	2.3
270.0	348.95589721651265			56.46826765079863	2.73
275.0	328.70791868437067			58.546305431330694	2.61
280.0	308.4599401522287			55.146290461390585	2.3
285.0	285.76813322993144			52.427939014308365	2.3
290.0	263.0763263076342			55.04781634246807	2.61
